"storage-client-fcoe","FCoE ストレージクライアント","イーサネット上ファイバーチャンネル（FCoE）のサポート"
"infiniband","Infiniband のサポート","RDMA ベースの InfiniBand や iWARP ファブリックを使用してクラスタリングやグリッドの接続性を サポートするように設計されているソフトウェアです。"
"java-platform","Java プラットフォーム","Scientific Linux Server Platform と Desktop Platform の Java サポート"
"perl-runtime","Perl のサポート","一般的なライブラリや機能への Perl インターフェース。"
"storage-client-iscsi","iSCSI ストレージクライアント","iSCSI クライアントサポート"





"additional-devel","その他の開発","アプリケーションを開発するためのその他開発ヘッダおよびライブラリ"
"afrikaans-support","アフリカーンス語のサポート",""
"albanian-support","アルバニア語のサポート",""
"amazigh-support","アマジグ語のサポート",""
"arabic-support","アラビア語のサポート",""
"armenian-support","アルメニア語のサポート",""
"assamese-support","アッサム語のサポート",""
"azerbaijani-support","アゼルバイジャン語のサポート",""
"backup-client","クライアントをバックアップ","バックアップサーバーに接続しバックアップを実行するためのクライアントツール"
"backup-server","サーバーをバックアップ","インフラストラクチャのバックアップを集中化するソフトウェアです。"
"base","ベース","Scientific Linux の基本インストール"
"basic-desktop","デスクトップ","シンクライアントとして使用できる最低限のデスクトップ"
"basque-support","バスク語のサポート",""
"belarusian-support","ベラルーシ語のサポート",""
"bengali-support","ベンガル語のサポート",""
"bhutanese-support","ブータン語のサポート",""
"brazilian-support","ブラジル系ポルトガル語のサポート",""
"breton-support","ブルターニュ語のサポート",""
"british-support","英語 (イギリス) のサポート",""
"buildsys-build","Buildsystem ビルドグループ",""
"bulgarian-support","ブルガリア語のサポート",""
"burmese-support","ミャンマー (ビルマ) 語のサポート",""
"catalan-support","カタロニア語のサポート",""
"chhattisgarhi-support","チャッティースガリー語のサポート",""
"chichewa-support","チェワ語のサポート",""
"chinese-support","中国語のサポート",""
"cifs-file-server","CIFS ファイルサーバー","Linux システムと Microsoft Windows システムの間でファイルを共有します。"
"compat-libraries","互換性ライブラリ","旧バージョンの Scientific Linux によって構築されたアプリケーションに対する互換性ライブラリ"
"conflicts","競合 ","このグループには サーバーの機種にある @everything インストールと競合するパッケージが 含まれています。"
"console-internet","コンソールインターネットツール","管理者によって頻繁に使用されるコンソールインターネットアクセスツール"
"coptic-support","コプト語のサポート",""
"core","コア","最小限のインストール"
"croatian-support","クロアチア語のサポート",""
"czech-support","チェコ語のサポート",""
"danish-support","デンマーク語のサポート",""
"debugging","デバッグツール","正しく動作しないアプリケーションをデバッグし、パフォーマンスの問題を分析するツールです。"
"desktop-debugging","デスクトップのデバッグとパフォーマンスツール","アプリケーションやパフォーマンスのデバッグを行うための GUI ツール"
"desktop-platform","デスクトッププラットフォーム","Scientific Linux Desktop Platform のサポート対象ライブラリです。"
"desktop-platform-devel","デスクトッププラットフォーム開発","Scientific Linux Desktop Platform 上で実行するアプリケーションを開発するための開発ヘッダおよびライブラリ"
"development","開発ツール　","基本的な開発環境"
"dial-up","ダイヤルアップネットワークサポート","PPP または ISDN より接続するためのツール"
"directory-client","ディレクトリクライアント","ディレクトリサービスによって管理されるネットワークに統合するためのクライアント"
"directory-server","ディレクトリサーバー","マシンおよびユーザー ID サーバー"
"dutch-support","オランダ語のサポート",""
"eclipse","Eclipse","Eclipse ベースの統合開発環境"
"emacs","Emacs","拡張およびカスタマイズ可能な GNU Emacs テキストエディタ"
"esperanto-support","エスペラント語のサポート",""
"estonian-support","エストニア語のサポート",""
"ethiopic-support","エチオピア語のサポート",""
"faroese-support","フェロー語のサポート",""
"fijian-support","フィジー語のサポート",""
"filipino-support","フィリピン語のサポート",""
"finnish-support","フィンランド語のサポート",""
"fonts","フォント","異なる言語やスクリプトにテキストをレンダリングするためのフォント"
"french-support","フランス語のサポート",""
"frisian-support","フリジア語のサポート",""
"friulian-support","フリウリ語のサポート",""
"ftp-server","FTP サーバー","システムが FTP サーバーとして機能できるようにします。"
"gaelic-support","ゲール語のサポート",""
"galician-support","ガリシア語のサポート",""
"general-desktop","汎用デスクトップ","汎用デスクトップ"
"georgian-support","グルジア語のサポート",""
"german-support","ドイツ語のサポート",""
"graphical-admin-tools","グラフィカル管理ツール","システムの多くの側面を管理するためのグラフィカルシステム管理ツール"
"graphics","グラフィックスツール","静止画像の作成や修正を行うためのソフトウェアです。"
"greek-support","ギリシャ語のサポート",""
"gujarati-support","グジャラート語のサポート",""
"hardware-monitoring","ハードウェア監視ユーティリティ","サーバーハードウェアを管理する為のツールセット"
"hebrew-support","ヘブライ語のサポート",""
"hiligaynon-support","ヒリガイノン語のサポート",""
"hindi-support","ヒンディー語のサポート",""
"hungarian-support","ハンガリー語のサポート",""
"ice-desktop","",""
"icelandic-support","アイスランド語のサポート",""
"indonesian-support","インドネシア語のサポート",""

"input-methods","入力メソッド","国際的なテキストを入力するためのソフトウェアです。"
"interlingua-support","インターリングア語のサポート",""
"internet-applications","インターネットアプリケーション","電子メール、チャット、ビデオ会議のソフトウェアです。"
"internet-browser","インターネットブラウザ","Firefox Web ブラウザ"
"inuktitut-support","イヌクティトゥト語のサポート",""
"irish-support","アイルランド語のサポート",""
"italian-support","イタリア語のサポート",""
"japanese-support","日本語のサポート",""

"kannada-support","カンナダ語のサポート",""
"kashmiri-support","カシミール語のサポート",""
"kashubian-support","カシューブ語のサポート",""
"kazakh-support","カザフ語のサポート",""
"kde-desktop","KDE デスクトップ","KDE デスクトップ"
"khmer-support","クメール語のサポート",""
"kinyarwanda-support","ルワンダ語のサポート",""
"konkani-support","コンカニ語のサポート",""
"korean-support","韓国語のサポート",""
"kurdish-support","クルド語のサポート",""
"lao-support","ラオ語のサポート",""
"large-systems","大規模システムのパフォーマンス","大規模システム用パフォーマンスサポートツール"
"latin-support","ラテン語のサポート",""
"latvian-support","ラトビア語のサポート",""
"legacy-unix","レガシー UNIX の互換性","レガシー UNIX 環境の使用やこの環境からの移行するための互換性プログラム"
"legacy-x","レガシー X Windows システムの互換性","レガシー X Windows システム環境の使用やこの環境からの移行するための互換性プログラム"
"lithuanian-support","リトアニア語のサポート",""
"low-saxon-support","低ザクセン語のサポート",""
"luxembourgish-support","ルクセンブルグ語のサポート",""
"macedonian-support","マケドニア語のサポート",""
"mail-server","電子メールサーバー","システムが SMTP または IMAP 電子メールサーバーとして機能できるようにします。"
"mainframe-access","メインフレームアクセス","メインフレームコンピューティングリソースにアクセスするためのツール"
"maithili-support","マイチリ語のサポート",""
"malagasy-support","マダガスカル語のサポート",""
"malay-support","マレー語のサポート",""
"malayalam-support","マラヤーラム語のサポート",""
"maltese-support","マルタ語のサポート",""
"manx-support","マン島語のサポート",""
"maori-support","マオリ語のサポート",""
"marathi-support","マラーティー語のサポート",""
"misc-sl","",""
"mongolian-support","モンゴル語のサポート",""
