"storage-client-fcoe","FCoE ストレージ接続クライアント","Fibre Channel over Ethernet (FCoE) のサポート"
"infiniband","Infiniband のサポート","RDMA ベースの InfiniBand や iWARP ファブリックを使用してクラスタリングやグリッドの接続性を サポートするように設計されているソフトウェアです。"
"java-platform","Java プラットフォーム","Red Hat Enterprise Linux Server Platform と Desktop Platform の Java サポート"
"perl-runtime","Perl のサポート","一般的なライブラリや機能への Perl インターフェース。"
"storage-client-iscsi","iSCSI ストレージ接続クライアント","iSCSI 接続クライアントサポート"
"client-mgmt-tools","クライアント管理ツール","物理マシンと仮想マシンの両方を管理するためのツールとデーモン"
"console-internet","コンソールインターネットツール","管理者によって頻繁に使用されるコンソールインターネットアクセスツール"
"storage-client-multipath","ストレージ可用性ツール","SAN のマルチパスを管理するためのツールセット"
"smart-card","スマートカードのサポート","スマートカード認証の使用に対するサポートです。"
"security-tools","セキュリティツール","整合性や信用を検証するセキュリティツール"
"dial-up","ダイヤルアップネットワークサポート","PPP または ISDN にてダイアルアップ接続するためのツール"
"directory-client","ディレクトリ接続クライアント","ディレクトリサービスによって管理されるネットワークに統合するための接続クライアント"
"debugging","デバッグツール","正しく動作しないアプリケーションをデバッグし、パフォーマンスの問題を分析するツールです。"
"network-tools","ネットワーキングツール","コンピュータネットワークを設定し分析するためのツール"
"network-file-system-client","ネットワークファイルシステムクライアント","システムがネットワークストレージに接続できるようにします。"
"hardware-monitoring","ハードウェア監視ユーティリティ","サーバーハードウェアを管理するためのツールセット"
"backup-client","バックアップクライアント","バックアップサーバーに接続しバックアップを実行するためのクライアントツール"
"performance","パフォーマンスツール","システムおよびアプリケーションレベルのパフォーマンス問題を分析するツールです。"
"base","ベース","Red Hat Enterprise Linux の基本インストール"
"mainframe-access","メインフレームアクセス","メインフレームコンピューティングリソースにアクセスするためのツール"
"legacy-unix","レガシー UNIX の互換性","レガシー UNIX 環境の使用やこの環境からの移行するための互換性プログラム"
"compat-libraries","互換性ライブラリ","旧バージョンの Red Hat Enterprise Linux によって構築されたアプリケーションに対する互換性ライブラリ"
"print-client","印刷クライアント","ローカルのプリンタやリモートプリントサーバーへ印刷するためのツールです。"
"large-systems","大規模システムのパフォーマンス","大規模システム用パフォーマンスサポートツール"
"scientific","数学／科学系および並列計算","数学的計算や科学的計算、並列計算のツールです。"

"cifs-file-server","CIFS ファイルサーバー","Linux システムと Microsoft Windows システムの間でファイルを共有します。"
"ftp-server","FTP サーバー","システムが FTP サーバーとして機能できるようにします。"
"nfs-file-server","NFS ファイルサーバー","NFS ファイルサーバー"
"server-platform","サーバープラットフォーム","Red Hat Enterprise Linux Server Platform のサポート対象ライブラリです。"
"system-admin-tools","システム管理ツール","システム管理に便利なユーティリティです。"
"directory-server","ディレクトリサーバー","マシンおよびユーザー ID サーバー"
"network-server","ネットワークインフラストラクチャサーバー","DHCP や DNS などコアネットワークプロトコルやサービスのサーバーです。"
"backup-server","バックアップサーバー","インフラストラクチャのバックアップを集中化するソフトウェアです。"
"print-server","プリントサーバー","システムがプリントサーバーとして機能できるようにします。"
"identity-server","企業向け認証サーバー基盤","企業向けのマシンとユーザーに対する認証サーバーに関するパッケージです。"
"mail-server","電子メールサーバー","システムが SMTP または IMAP 電子メールサーバーとして機能できるようにします。"
"Web サービス"
"php","PHP サポート","PHP Web アプリケーションフレームワーク。"








"additional-devel","その他の開発","アプリケーションを開発するためのその他ヘッダファイルおよびライブラリ"
"afrikaans-support","アフリカーンス語のサポート",""
"albanian-support","アルバニア語のサポート",""
"amazigh-support","アマジグ語のサポート",""
"arabic-support","アラビア語のサポート",""
"armenian-support","アルメニア語のサポート",""
"assamese-support","アッサム語のサポート",""
"azerbaijani-support","アゼルバイジャン語のサポート",""



"basic-desktop","デスクトップ","シンクライアントとして使用できる最低限のデスクトップ"
"basque-support","バスク語のサポート",""
"belarusian-support","ベラルーシ語のサポート",""
"bengali-support","ベンガル語のサポート",""
"bhutanese-support","ブータン語のサポート",""
"brazilian-support","ブラジル系ポルトガル語のサポート",""
"breton-support","ブルターニュ語のサポート",""
"british-support","英語 (イギリス) のサポート",""
"bulgarian-support","ブルガリア語のサポート",""
"burmese-support","ミャンマー (ビルマ) 語のサポート",""
"catalan-support","カタロニア語のサポート",""
"chhattisgarhi-support","チャッティースガリー語のサポート",""
"chichewa-support","チェワ語のサポート",""
"chinese-support","中国語のサポート",""



"conflicts-server","競合 (Server)","このグループには サーバーの機種にある @everything インストールと競合するパッケージが 含まれています。"

"coptic-support","コプト語のサポート",""
"core","コア","最小限のインストール"
"croatian-support","クロアチア語のサポート",""
"czech-support","チェコ語のサポート",""
"danish-support","デンマーク語のサポート",""

"desktop-debugging","デスクトップのデバッグとパフォーマンスツール","アプリケーションやパフォーマンスのデバッグを行うための GUI ツール"
"desktop-platform","デスクトッププラットフォーム","Red Hat Enterprise Linux Desktop Platform のサポート対象ライブラリです。"
"desktop-platform-devel","デスクトッププラットフォーム開発","Red Hat Enterprise Linux Desktop Platform 上で実行するアプリケーションを開発するためのヘッダファイルおよびライブラリ"
"development","開発ツール　","基本的な開発環境"



"dutch-support","オランダ語のサポート",""
"eclipse","Eclipse","Eclipse ベースの統合開発環境"
"emacs","Emacs","拡張およびカスタマイズ可能な GNU Emacs テキストエディタ"
